Wavelength (nm),N2 Baseline,0.15P DMMP,0.25P DMMP,0.50P DMMP,0.15P DCP,0.25P DCP,0.50 DCP,0.15P EtOH,0.25P EtOH,0.50P EtOH,0.15P MeOH,0.25P MeOH,0.50P MeOH,0.15P Water,0.25P Water,0.50P Water
449.747,0.380784,-3.32302,-4.0027,-4.14727,-0.211355,0.38764,0.916651,-3.4839,-4.35773,-8.39445,0.340698,2.827,2.09669,-0.851504,-1.07665,-3.84704
450.117,0.380763,-3.32275,-4.00231,-4.1471,-0.211357,0.387838,0.916868,-3.48356,-4.35704,-8.3937,0.341311,2.82765,2.09778,-0.851681,-1.07629,-3.84638
450.486,0.380699,-3.32196,-4.00114,-4.14659,-0.211361,0.388433,0.917518,-3.48254,-4.35498,-8.39147,0.343149,2.82957,2.10103,-0.852208,-1.0752,-3.84441
450.855,0.380592,-3.32063,-3.99919,-4.14575,-0.211366,0.389424,0.918597,-3.48084,-4.35153,-8.38774,0.346205,2.83278,2.10644,-0.853083,-1.07339,-3.84114
451.225,0.380442,-3.31879,-3.99648,-4.14458,-0.211367,0.390808,0.9201,-3.47847,-4.34672,-8.38252,0.350466,2.83726,2.11399,-0.854301,-1.07088,-3.83656
451.594,0.38025,-3.31644,-3.99301,-4.14308,-0.211359,0.392583,0.92202,-3.47543,-4.34053,-8.37583,0.355917,2.84299,2.12365,-0.855853,-1.06766,-3.83068
451.963,0.380015,-3.31359,-3.98881,-4.14126,-0.211335,0.394746,0.924346,-3.47172,-4.33298,-8.36765,0.362537,2.84997,2.1354,-0.85773,-1.06375,-3.82353
452.332,0.379739,-3.31026,-3.98388,-4.13913,-0.211287,0.397293,0.927067,-3.46737,-4.32407,-8.35801,0.370301,2.85816,2.14919,-0.859919,-1.05917,-3.81511
452.701,0.37942,-3.30646,-3.97826,-4.13669,-0.211206,0.400217,0.93017,-3.46237,-4.31381,-8.3469,0.37918,2.86756,2.165,-0.862408,-1.05394,-3.80543
453.07,0.37906,-3.30221,-3.97196,-4.13396,-0.211081,0.403515,0.93364,-3.45673,-4.3022,-8.33433,0.38914,2.87812,2.18276,-0.865179,-1.04808,-3.79452
453.439,0.378658,-3.29754,-3.96502,-4.13095,-0.210901,0.407179,0.937459,-3.45048,-4.28926,-8.32032,0.400146,2.88983,2.20242,-0.868216,-1.04161,-3.7824
453.809,0.378215,-3.29246,-3.95745,-4.12766,-0.210655,0.411203,0.941609,-3.44361,-4.275,-8.30487,0.412157,2.90265,2.22393,-0.871499,-1.03455,-3.76909
454.177,0.377731,-3.28701,-3.9493,-4.1241,-0.210328,0.415577,0.946071,-3.43616,-4.25942,-8.28799,0.425129,2.91655,2.24721,-0.875008,-1.02693,-3.7546
454.546,0.377207,-3.28119,-3.94058,-4.1203,-0.20991,0.420294,0.950824,-3.42812,-4.24254,-8.2697,0.439017,2.93148,2.27221,-0.87872,-1.01878,-3.73898
454.915,0.376643,-3.27504,-3.93134,-4.11625,-0.209387,0.425343,0.955847,-3.41953,-4.22437,-8.25001,0.453771,2.9474,2.29886,-0.882612,-1.01012,-3.72224
455.284,0.37604,-3.26859,-3.92161,-4.11197,-0.208746,0.430715,0.961118,-3.41039,-4.20494,-8.22893,0.469341,2.96428,2.32706,-0.886658,-1.00098,-3.70442
455.653,0.375397,-3.26184,-3.91141,-4.10748,-0.207974,0.436399,0.966614,-3.40073,-4.18426,-8.20648,0.485674,2.98207,2.35675,-0.890835,-0.991395,-3.68553
456.022,0.374716,-3.25484,-3.90079,-4.10277,-0.20706,0.442382,0.972313,-3.39056,-4.16235,-8.18267,0.502716,3.00071,2.38785,-0.895114,-0.981386,-3.66562
456.39,0.373996,-3.2476,-3.88977,-4.09786,-0.205992,0.448652,0.97819,-3.37991,-4.13922,-8.15752,0.520411,3.02017,2.42027,-0.89947,-0.970981,-3.64472
456.759,0.373238,-3.24015,-3.87839,-4.09276,-0.204759,0.455197,0.984224,-3.36879,-4.11491,-8.13104,0.538703,3.04039,2.45393,-0.903876,-0.960206,-3.62286
457.128,0.372443,-3.2325,-3.86667,-4.08748,-0.203352,0.462002,0.990392,-3.35723,-4.08944,-8.10325,0.557536,3.06132,2.48874,-0.908302,-0.949087,-3.60006
457.496,0.371611,-3.22467,-3.85465,-4.08201,-0.201762,0.469055,0.996671,-3.34524,-4.06282,-8.07416,0.576853,3.08291,2.52462,-0.912723,-0.937648,-3.57637
457.865,0.370742,-3.21668,-3.84234,-4.07637,-0.199981,0.476339,1.00304,-3.33285,-4.0351,-8.04379,0.596599,3.10511,2.56148,-0.917111,-0.92591,-3.55182
458.234,0.369837,-3.20855,-3.82978,-4.07055,-0.198003,0.48384,1.00948,-3.32008,-4.00629,-8.01216,0.616719,3.12786,2.59924,-0.921438,-0.913895,-3.52643
458.602,0.368896,-3.20028,-3.81698,-4.06455,-0.195824,0.491544,1.01597,-3.30695,-3.97643,-7.97929,0.637159,3.15111,2.63781,-0.925678,-0.90162,-3.50026
458.971,0.36792,-3.19189,-3.80397,-4.05838,-0.193441,0.499435,1.0225,-3.29347,-3.94554,-7.94519,0.657867,3.1748,2.67711,-0.929804,-0.889103,-3.47332
459.339,0.36691,-3.18338,-3.79075,-4.05203,-0.190851,0.507498,1.02904,-3.27967,-3.91367,-7.90988,0.678793,3.1989,2.71706,-0.933793,-0.876358,-3.44566
459.707,0.365864,-3.17476,-3.77735,-4.04549,-0.188054,0.515717,1.03558,-3.26558,-3.88084,-7.87338,0.699889,3.22333,2.75758,-0.93762,-0.863398,-3.4173
