Wavelength (nm),N2 Baseline,"DCP (Saturated, 5 nm)","DCP (Saturated, 10 nm)","DCP (Saturated, 15 nm)","DCP (Bottom, 5 nm)","DCP (Bottom, 10 nm)","DCP (Bottom, 15 nm)","DCP (Middle, 5 nm)","DCP (Middle, 10 nm)","DCM (Middle, 15 nm)","DCP (Top, 5 nm)","DCP (Top, 10 nm)","DCP (Top, 15 nm)","DMMP (Saturated, 5 nm)","DMMP (Saturated, 10 nm)","DMMP (Saturated, 15 nm)","DMMP (Bottom, 5 nm)","DMMP (Bottom, 10 nm)","DMMP (Bottom, 15 nm)","DMMP (Middle, 5 nm)","DMMP (Middle, 10 nm)","DMMP (Middle, 15 nm)","DMMP (Top, 5 nm)","DMMP (Top, 10 nm)","DMMP (Top, 15 nm)","EtOH (Saturated, 5 nm)","EtOH (Saturated, 10 nm)","EtOH (Saturated, 15 nm)","EtOH (Bottom, 5 nm)","EtOH (Bottom, 10 nm)","EtOH (Bottom, 15 nm)","EtOH (Middle, 5 nm)","EtOH (Middle, 10 nm)","EtOH (Middle, 15 nm)","EtOH (Top, 5 nm)","EtOH (Top, 10 nmm)","EtOH (Top, 15 nm)","MeOH (Saturated, 5 nm)","MeOH (Saturated, 10 nm)","MeOH (Saturated, 15 nm)","MeOH (Bottom, 5 nm)","MeOH (Bottom, 10 nm)","MeOH (Bottom, 15 nm)","MeOH (Middle, 5 nm)","MeOH (Middle, 10 nm)","MeOH (Middle, 15 nm)","MeOH (Top, 5 nm)","MeOH (Top, 10 nm)","MeOH (Top, 15 nm)","Water (Saturated, 5 nm)","Water (Saturated, 10 nm)","Water (Saturated, 15 nm)","Water (Bottom, 5 nm)","Water (Bottom, 10 nm)","Water (Bottom, 15 nm)","Water (Middle, 5 nm)","Water (Middle, 10 nm)","Water (Middle, 15 nm)","Water (Top, 5 nm)","Water (Top, 10 nm)","Water (Top, 15 nm)"
400,0,-0.807837702,-0.773774806,-0.710132452,-0.82063463,-0.854608611,-0.82680251,-0.795446983,-0.804665699,-0.831858402,-0.746142681,-0.813324563,-0.828137669,-0.822714561,-0.820625516,-0.773438328,-0.821981344,-0.85600507,-0.841595358,-0.803159343,-0.805606694,-0.839433926,-0.760242781,-0.814152005,-0.831627399,-0.491473859,-0.583512211,-0.548657524,-0.519421128,-0.571910499,-0.596966925,-0.428175619,-0.466922416,-0.453909979,-0.456762681,-0.486815735,-0.480475449,-0.518597709,-0.540155258,-0.518070382,-0.524054068,-0.523149638,-0.57100038,-0.364462476,-0.410333611,-0.453608911,-0.469628368,-0.45628313,-0.480322641,-0.518474619,-0.546248949,-0.516559046,-0.516033936,-0.525727727,-0.571873705,-0.369811918,-0.415512795,-0.454802308,-0.369811918,-0.454281148,-0.480944493
400.1,0,-0.81093335,-0.778822861,-0.716819904,-0.821659185,-0.855513567,-0.828921701,-0.796503048,-0.805972572,-0.834483083,-0.747239958,-0.813774054,-0.828869831,-0.824650162,-0.824303688,-0.778717404,-0.822308293,-0.85606821,-0.842696173,-0.803337994,-0.805956826,-0.840945342,-0.760355552,-0.813893998,-0.831523795,-0.497561388,-0.588451329,-0.555391205,-0.5220948,-0.573647601,-0.599692121,-0.430985773,-0.469823629,-0.459320793,-0.459400333,-0.488854602,-0.483742836,-0.525368445,-0.545144238,-0.524460947,-0.527643465,-0.526219488,-0.574052928,-0.368958729,-0.414589472,-0.459009338,-0.47247215,-0.459848022,-0.483581831,-0.52524823,-0.551051376,-0.522996299,-0.519410164,-0.52856303,-0.574936891,-0.373916437,-0.41943319,-0.460221969,-0.373916437,-0.457592184,-0.484201706
400.2,0,-0.813894105,-0.783706365,-0.723331228,-0.822596791,-0.856328582,-0.830923344,-0.79743867,-0.807146831,-0.836945396,-0.748223172,-0.814126026,-0.829502795,-0.826490723,-0.82783995,-0.783829681,-0.822549976,-0.856062045,-0.843694935,-0.803410846,-0.806198868,-0.84232472,-0.760389269,-0.813571588,-0.831341916,-0.503436525,-0.593213842,-0.561920406,-0.524633889,-0.575271913,-0.602279257,-0.433642858,-0.472554353,-0.464523365,-0.46189057,-0.490735162,-0.486865495,-0.531908298,-0.549961581,-0.53066454,-0.531070788,-0.529163339,-0.576957047,-0.37323596,-0.41863584,-0.464207685,-0.475156941,-0.46324945,-0.48670643,-0.531802072,-0.555697628,-0.529246438,-0.522634519,-0.531271022,-0.57785666,-0.377845196,-0.423182925,-0.465444798,-0.377845196,-0.460775574,-0.48733285
400.3,0,-0.816749914,-0.788447604,-0.729678517,-0.823444701,-0.857055634,-0.832823026,-0.798278831,-0.808210608,-0.839274962,-0.749127908,-0.814414205,-0.830058454,-0.828236707,-0.831254928,-0.788799564,-0.82272961,-0.855989558,-0.844603376,-0.803402074,-0.806354328,-0.843587986,-0.760360731,-0.813185627,-0.831104863,-0.509179906,-0.597842702,-0.568271163,-0.527075945,-0.576825907,-0.604753379,-0.436195575,-0.475186515,-0.469565701,-0.46428493,-0.492564043,-0.489900304,-0.538298953,-0.554653413,-0.536732256,-0.534400505,-0.53200335,-0.579761112,-0.377429138,-0.422572107,-0.469252724,-0.477748207,-0.466543676,-0.489740943,-0.53819525,-0.560208755,-0.535367648,-0.525758113,-0.533898108,-0.580674503,-0.381677971,-0.426806375,-0.470503417,-0.381677971,-0.46386488,-0.490368916
400.4,0,-0.819482167,-0.793035516,-0.735846969,-0.824196706,-0.85770244,-0.834603537,-0.798994434,-0.809161156,-0.841457181,-0.749923816,-0.814624371,-0.830531336,-0.829878071,-0.83452168,-0.793615289,-0.8228351,-0.855855979,-0.845419509,-0.803306409,-0.806408704,-0.844731007,-0.760253528,-0.812751598,-0.830800481,-0.514751246,-0.602291238,-0.574431257,-0.529393335,-0.578286049,-0.607091344,-0.438608642,-0.477666483,-0.474432925,-0.466545064,-0.494295811,-0.492806148,-0.544502874,-0.559208814,-0.542633561,-0.53758898,-0.534760117,-0.582434237,-0.381435479,-0.426346095,-0.474117322,-0.480200775,-0.469742083,-0.492653805,-0.544411527,-0.564583584,-0.541321041,-0.528762795,-0.536422752,-0.583361373,-0.385365598,-0.4302946,-0.475376845,-0.385365598,-0.466833118,-0.493292429
400.5,0,-0.82208466,-0.797462346,-0.741857453,-0.824861086,-0.858264156,-0.83627558,-0.799609296,-0.809992563,-0.843496541,-0.750625348,-0.814747966,-0.830919218,-0.831434525,-0.837653546,-0.798266928,-0.822849872,-0.855649214,-0.84613792,-0.803102696,-0.806370994,-0.845749285,-0.760067775,-0.812248268,-0.830427776,-0.520143325,-0.606596161,-0.580412163,-0.531599128,-0.579638587,-0.609299571,-0.440890429,-0.479994607,-0.479119836,-0.468654753,-0.495903952,-0.495605564,-0.550507747,-0.563604732,-0.548364409,-0.54064067,-0.5373711,-0.584961833,-0.385287236,-0.429967872,-0.478796105,-0.482538914,-0.472784314,-0.495445498,-0.550419635,-0.568803016,-0.54709346,-0.531621925,-0.538818724,-0.585905637,-0.388871038,-0.433615293,-0.480078508,-0.388871038,-0.469670554,-0.496079592
400.6,0,-0.824588393,-0.801759991,-0.747706518,-0.825452733,-0.858747156,-0.837852246,-0.800121224,-0.810726433,-0.845407298,-0.751256085,-0.814824743,-0.831231945,-0.83290017,-0.840672771,-0.802800607,-0.822816976,-0.855387471,-0.846783495,-0.802843767,-0.806259607,-0.846665377,-0.759825856,-0.811703515,-0.83001191,-0.525393328,-0.61076098,-0.58623954,-0.533689522,-0.580914724,-0.611398633,-0.443068793,-0.482218261,-0.483663525,-0.470685501,-0.497468809,-0.498316534,-0.556375976,-0.567894511,-0.553957071,-0.543593469,-0.539911228,-0.587407701,-0.389026789,-0.433466851,-0.483332088,-0.484766359,-0.475746964,-0.498150436,-0.556296343,-0.572921964,-0.552741974,-0.534383991,-0.541141477,-0.588365694,-0.392295448,-0.436828975,-0.484632912,-0.392295448,-0.472433011,-0.498797994
400.7,0,-0.826981638,-0.805910978,-0.753396727,-0.825949223,-0.859146504,-0.839317048,-0.800536727,-0.811344406,-0.847179529,-0.75179128,-0.814806868,-0.831465538,-0.834278163,-0.843561008,-0.807167114,-0.822699831,-0.855051945,-0.847331687,-0.80248339,-0.806056756,-0.847469024,-0.759510179,-0.811091526,-0.829526515,-0.530488311,-0.614779649,-0.591892262,-0.535678813,-0.582097285,-0.613373134,-0.445118618,-0.484300084,-0.488010274,-0.472579374,-0.498902597,-0.500892809,-0.562050956,-0.572032168,-0.559395662,-0.546401766,-0.54233314,-0.589709679,-0.392610568,-0.436811469,-0.4876832,-0.486868179,-0.478584473,-0.500731256,-0.561971901,-0.57689673,-0.558225925,-0.537009432,-0.543352061,-0.590680007,-0.395547251,-0.439881872,-0.48900159,-0.395547251,-0.475071284,-0.501380679
400.8,0,-0.829265643,-0.809923127,-0.758941973,-0.826365295,-0.859474769,-0.840690874,-0.800846788,-0.811860942,-0.848826359,-0.752236404,-0.814721222,-0.831617043,-0.835567054,-0.846320329,-0.811397248,-0.822524907,-0.854667288,-0.847794281,-0.80205773,-0.805769445,-0.848166266,-0.75912851,-0.810428372,-0.828982837,-0.535431358,-0.618651769,-0.597365165,-0.537552245,-0.583187198,-0.615234682,-0.447032733,-0.486262965,-0.492215038,-0.474360924,-0.500274643,-0.503371493,-0.567560179,-0.576047724,-0.564684061,-0.549103507,-0.544653368,-0.59190767,-0.396072371,-0.4400184,-0.49188663,-0.488864256,-0.48131784,-0.503209603,-0.567501911,-0.580733706,-0.563569321,-0.539523482,-0.54546316,-0.59289603,-0.398685914,-0.442816834,-0.493208276,-0.398685914,-0.477602607,-0.503859294
400.9,0,-0.831436883,-0.813802252,-0.764331209,-0.826702134,-0.859717751,-0.841959097,-0.801062879,-0.812274277,-0.850348531,-0.752595995,-0.814566276,-0.831697012,-0.836779537,-0.848972158,-0.815493759,-0.822281512,-0.854218201,-0.848184195,-0.801546392,-0.805399575,-0.84875941,-0.758688876,-0.809722565,-0.828384021,-0.540204638,-0.622388533,-0.602688025,-0.5393351,-0.584199689,-0.616978549,-0.4488384,-0.488095944,-0.496246145,-0.476024137,-0.501541483,-0.505736302,-0.572913258,-0.579934343,-0.569838633,-0.551691862,-0.546874067,-0.593991619,-0.399378601,-0.443087287,-0.495912384,-0.490741702,-0.483936887,-0.505576783,-0.572851236,-0.584446591,-0.568756854,-0.541925572,-0.54748139,-0.59498846,-0.401676305,-0.44562039,-0.497261259,-0.401676305,-0.480032515,-0.506229058
