Wavelength (nm),N2 Baseline,0.02P DCM,0.05P DCM,0.10P DCM,0.20P DCM,0.30P DCM,0.02P DCM,0.05P DCM,0.10P DCM,0.20P DCM,0.30P DCM,0.02P DCP,0.05P DCP,0.10P DCP,0.20P DCP,0.30P DCP,0.02P DCP,0.05P DCP,0.10P DCP,0.20P DCP,0.30P DCP,0.02P EtOH,0.05P EtOH,0.10P EtOH,0.20P EtOH,0.30P EtOH,0.02P EtOH,0.05P EtOH,0.10P EtOH,0.20P EtOH,0.30P EtOH,0.02P MeOH,0.05P MeOH,0.10P MeOH,0.20P MeOH,0.30P MeOH,0.02P MeOH,0.05P MeOH,0.10P MeOH,0.20P MeOH,0.30P MeOH,0.02P Water,0.05P Water,0.10P Water,0.20P Water,0.30P Water,0.02P Water,0.05P Water,0.10P Water,0.20P Water,0.30P Water
600.284,0,-15.93270537,-23.67370189,-28.89687545,-28.06220124,-31.3185856,-2.266836276,-2.622452727,-4.056627947,-3.369878367,-3.893760631,-7.517951221,-8.925589378,-8.236578912,-8.718847649,-11.32352331,1.213432866,3.513699327,2.277566463,2.030307345,4.948111385,-25.90852398,-33.46015605,-39.9979857,-43.20395378,-42.38672507,-0.322295233,-0.290997475,0.437212955,-0.696992309,-2.959668897,-21.54610042,-29.3661635,-33.63355303,-37.76558237,-41.56275469,-2.591621194,-1.91856847,-2.532707837,-4.085252805,-2.847748628,2.453190932,0.661255478,-3.410992098,-9.294206927,-11.98605184,-1.155082446,-2.193279065,-1.833187226,-2.379127531,-3.237319975
600.636,0,-17.47195822,-25.44489568,-12.91607978,-11.95745647,-12.63842828,-1.732079188,-1.932412248,-3.409350984,-3.39354116,-4.121018936,-4.6286913,-4.456381056,-4.640800853,-5.569586099,-6.257006149,-0.708559988,-0.250490704,-0.255982201,-0.909627222,-1.10182961,-14.5626077,-20.18823991,-22.16601513,-23.33654388,-23.85654957,1.124556091,2.6835907,0.3774572,-1.924210295,-2.059306956,-12.90007111,-17.54029586,-19.37369788,-22.06038351,-22.69869547,3.728599396,-0.252546875,0.834701503,-0.655308431,0.154869923,0.715162907,-0.418854018,-2.908987234,-6.085522929,-10.08089786,-2.258448983,-2.428216472,-3.933094964,-4.644809405,-4.294042785
600.988,0,-18.07106924,-23.55300466,-12.55170236,-11.81767328,-12.78162933,-1.636570868,-0.342237081,-0.895602844,-1.589670303,-3.208120498,-4.979607643,-3.716428687,-4.905724007,-4.509138349,-4.589040486,2.375189287,0.883668152,0.140675225,0.099714142,0.065395397,-14.92387623,-20.01391065,-22.48362619,-23.33498484,-25.09472262,-0.790537356,-1.865076196,-3.517484062,-3.40895744,-2.416635737,-13.28347226,-17.64261036,-19.28660863,-20.84424205,-22.83695033,-0.431581661,-1.005478737,-2.073657579,-1.665984908,0.212985184,0.93532113,-0.269587779,-1.634016108,-4.782347362,-10.18326104,-0.969626465,-0.790369859,-3.12480772,-3.020207183,-2.54002919
601.34,0,-20.83202739,-26.44839309,-13.21738133,-12.99047983,-13.65736271,-0.578084595,-1.600564148,0.025450265,-2.803316412,-2.733328183,-4.331229335,-6.051313519,-4.782474729,-5.607699751,-5.509987813,3.81618493,2.876409683,4.47619313,2.729201581,0.48724369,-15.16383899,-20.40101637,-23.30657044,-24.29700536,-24.84607479,1.133488329,-0.826128434,0.19458756,-1.62674884,-3.432606684,-12.75553828,-17.11527488,-19.81100031,-21.48698428,-22.43554504,-0.654861489,-0.981765362,-0.881902835,0.648133738,0.43706067,0.169762236,-1.077597953,-2.958589185,-5.973511951,-11.27546608,-0.977764386,-3.577575977,-2.901540722,-1.89996201,-3.038756601
601.692,0,-19.03468647,-21.99572421,-12.49978688,-12.27632926,-12.9593175,-0.272553644,-1.466594571,0.330866037,-0.550332684,-2.713722497,-4.588577909,-4.734600617,-4.826606459,-5.081193511,-6.111737842,1.665292362,3.731039753,4.706637496,1.381613545,-0.054495566,-14.18046007,-20.47933314,-22.90446614,-23.85752139,-24.72321561,-0.69051372,-2.11749205,-0.339239482,-0.802108739,-0.737558679,-12.14674249,-17.64251322,-18.55242696,-21.43289969,-21.89195835,-1.084542758,-1.927120892,-1.969464701,-2.212464044,-1.21603143,0.812714939,-0.527297,-1.281450637,-5.108097546,-9.759606645,-0.899990137,-3.593199686,-4.332758527,-4.171213678,-1.620618563
602.044,0,-19.2397818,-24.28041472,-12.58848234,-12.8710722,-12.39762281,0.506542337,-0.811851406,0.688674989,-1.873289216,-2.448262897,-4.700165616,-4.953394676,-4.5210951,-5.663936079,-6.596417774,0.455804522,2.17061294,1.633949944,0.177092545,0.713677492,-15.31502565,-21.29716894,-23.51516623,-24.61881169,-25.34104981,-2.02081181,-1.578467494,-2.082892493,-0.641655983,-0.930354498,-11.8970278,-14.82225648,-16.48270266,-19.13004048,-20.78869774,-0.160527472,-2.471538187,-2.115152971,-2.754812663,-2.661863225,-0.050045098,-0.076319363,0.813917278,-1.936730615,-4.790189195,-3.006289328,-0.706435421,-3.632516718,-4.152834495,-1.320408806
602.396,0,-18.1839193,-23.09162303,-11.79716193,-12.34868682,-12.58513926,1.401070067,0.839345172,0.519425879,1.238433745,-2.264769218,-3.108611101,-3.877135361,-3.203509807,-4.84854865,-5.667409235,1.547536297,-0.072573899,2.357002321,2.870674725,3.767009508,-14.28574555,-19.48959544,-21.88643436,-24.65216088,-24.36912723,1.180967269,-1.980029311,-1.10765022,-0.664386908,-2.057723498,-11.82766766,-14.61495333,-16.18453471,-18.95990046,-19.28441319,-3.650319376,-2.427363778,-2.74517415,-2.569795415,-2.596090486,0.691396246,1.789323966,2.552650183,1.219728129,-1.627206109,-3.23941185,-3.870823291,-5.177031499,-6.249966105,-5.3668423
602.748,0,-15.76376823,-22.69210609,-10.83069381,-12.0583784,-11.95413636,0.124048673,-1.067521582,-2.836350216,-2.507189184,-3.750019222,-4.273608824,-3.558035662,-3.543773502,-4.466332935,-5.164948018,1.982831016,2.260505116,2.137491835,0.60760163,3.611785014,-12.62188806,-18.17919604,-21.90512874,-23.41543677,-24.14059144,-3.501069949,-3.49056186,-3.333916282,-4.25149759,-2.865180473,-9.883326092,-12.49148457,-14.40604317,-17.28563912,-17.07147965,0.177375705,-2.440843943,-2.26456995,-0.600590675,-2.035335066,0.815117325,2.882541716,3.639273955,4.219535485,0.533816362,-0.196440424,0.909601144,-2.048750648,-0.756122209,-1.566320715
603.1,0,-15.46959963,-19.46956569,-11.72777676,-12.06406722,-11.69977338,-1.760208892,-1.185319504,-2.132951331,-2.538188148,-3.677812432,-1.704114073,-1.376797144,-2.831622879,-2.751083234,-2.915839696,2.658911444,2.2521186,3.359701401,1.366873536,2.700125268,-10.66673882,-15.60741313,-19.67553567,-21.58843886,-23.73669458,-1.17991703,-1.845546637,-1.646900437,-1.521318624,-0.182545968,-8.102319636,-13.29831832,-14.15414297,-16.91126353,-18.10723961,0.118172931,-0.120301463,-1.771805626,-1.158000126,-1.40309662,0.137519126,3.15307971,5.623259148,7.027650872,4.533259823,-3.366488497,-3.020484406,-4.115140962,-3.683121481,-5.20645636
603.451,0,-12.54438209,-17.21121883,-10.25386592,-11.07424667,-10.70186827,0.48875522,-2.630542122,-3.487097254,-3.782701287,-3.477954861,-0.012748217,-1.434588573,-1.527717154,-2.864102258,-3.105131337,0.634390651,0.580133556,2.487555016,-0.363408711,1.879723782,-8.223604809,-14.53248242,-19.18882301,-21.42075099,-23.02832537,-1.106138335,-2.714929391,-2.671542524,-2.490587544,-3.742759722,-7.422958807,-12.24176417,-13.94572953,-17.18549274,-16.83084334,-1.001388202,-1.040606451,-2.925650291,-1.37839697,-1.345715095,0.390209136,3.586470631,6.139964437,8.603004369,7.829442366,-2.86678601,-3.380678211,-2.929657859,-4.431303987,-3.880555874
